Ticker,Date,Open,High,Low,Close
DJUSBK,05/07/2018,467.69,467.69,467.69,467.69
DJUSBK,05/04/2018,464.54,464.54,464.54,464.54
DJUSBK,05/03/2018,460.31,460.31,460.31,460.31
DJUSBK,05/02/2018,463.84,463.84,463.84,463.84
DJUSBK,05/01/2018,467.49,467.49,467.49,467.49
DJUSBK,04/30/2018,465.92,465.92,465.92,465.92
DJUSBK,04/27/2018,470.82,470.82,470.82,470.82
DJUSBK,04/26/2018,469.49,469.49,469.49,469.49
DJUSBK,04/25/2018,470.84,470.84,470.84,470.84
DJUSBK,04/24/2018,470.18,470.18,470.18,470.18
DJUSBK,04/23/2018,470.62,470.62,470.62,470.62
DJUSBK,04/20/2018,469.88,469.88,469.88,469.88
DJUSBK,04/19/2018,468.08,468.08,468.08,468.08
DJUSBK,04/18/2018,458.47,458.47,458.47,458.47
DJUSBK,04/17/2018,462.26,462.26,462.26,462.26
DJUSBK,04/16/2018,465.22,465.22,465.22,465.22
DJUSBK,04/13/2018,465.35,465.35,465.35,465.35
DJUSBK,04/12/2018,476.99,476.99,476.99,476.99
DJUSBK,04/11/2018,466.63,466.63,466.63,466.63
DJUSBK,04/10/2018,472.65,472.65,472.65,472.65
DJUSBK,04/09/2018,465.04,465.04,465.04,465.04
DJUSBK,04/06/2018,461.81,461.81,461.81,461.81
DJUSBK,04/05/2018,473.54,473.54,473.54,473.54
DJUSBK,04/04/2018,469.54,469.54,469.54,469.54
DJUSBK,04/03/2018,463.59,463.59,463.59,463.59
DJUSBK,04/02/2018,457.45,457.45,457.45,457.45
DJUSBK,03/30/2018,466.02,466.02,466.02,466.02
DJUSBK,03/29/2018,466.02,466.02,466.02,466.02
DJUSBK,03/28/2018,460.11,460.11,460.11,460.11
DJUSBK,03/27/2018,459.51,459.51,459.51,459.51
DJUSBK,03/26/2018,470.69,470.69,470.69,470.69
DJUSBK,03/23/2018,455.16,455.16,455.16,455.16
DJUSBK,03/22/2018,471.15,471.15,471.15,471.15
DJUSBK,03/21/2018,491.03,491.03,491.03,491.03
DJUSBK,03/20/2018,490.76,490.76,490.76,490.76
DJUSBK,03/19/2018,491.81,491.81,491.81,491.81
DJUSBK,03/16/2018,495.4,495.4,495.4,495.4
DJUSBK,03/15/2018,495.05,495.05,495.05,495.05
DJUSBK,03/14/2018,494.41,494.41,494.41,494.41
DJUSBK,03/13/2018,501.16,501.16,501.16,501.16
DJUSBK,03/12/2018,506.88,506.88,506.88,506.88
DJUSBK,03/09/2018,507.97,507.97,507.97,507.97
DJUSBK,03/08/2018,496.86,496.86,496.86,496.86
DJUSBK,03/07/2018,497.31,497.31,497.31,497.31
DJUSBK,03/06/2018,497.85,497.85,497.85,497.85
DJUSBK,03/05/2018,496.86,496.86,496.86,496.86
DJUSBK,03/02/2018,491.08,491.08,491.08,491.08
DJUSBK,03/01/2018,488.58,488.58,488.58,488.58
DJUSBK,02/28/2018,495.81,495.81,495.81,495.81
DJUSBK,02/27/2018,502.13,502.13,502.13,502.13
DJUSBK,02/26/2018,508.03,508.03,508.03,508.03
DJUSBK,02/23/2018,503.2,503.2,503.2,503.2
DJUSBK,02/22/2018,495.96,495.96,495.96,495.96
DJUSBK,02/21/2018,501.6,501.6,501.6,501.6
DJUSBK,02/20/2018,499.73,499.73,499.73,499.73
DJUSBK,02/19/2018,501.14,501.14,501.14,501.14
DJUSBK,02/16/2018,501.14,501.14,501.14,501.14
DJUSBK,02/15/2018,502.12,502.12,502.12,502.12
DJUSBK,02/14/2018,499.81,499.81,499.81,499.81
DJUSBK,02/13/2018,487.23,487.23,487.23,487.23
DJUSBK,02/12/2018,483.41,483.41,483.41,483.41
DJUSBK,02/09/2018,477.28,477.28,477.28,477.28
DJUSBK,02/08/2018,467.94,467.94,467.94,467.94
DJUSBK,02/07/2018,488.55,488.55,488.55,488.55
DJUSBK,02/06/2018,486.23,486.23,486.23,486.23
DJUSBK,02/05/2018,478.11,478.11,478.11,478.11
DJUSBK,02/02/2018,505.37,505.37,505.37,505.37
DJUSBK,02/01/2018,514.78,514.78,514.78,514.78
DJUSBK,01/31/2018,509.87,509.87,509.87,509.87
DJUSBK,01/30/2018,508.64,508.64,508.64,508.64
DJUSBK,01/29/2018,513.8,513.8,513.8,513.8
DJUSBK,01/26/2018,514.44,514.44,514.44,514.44
DJUSBK,01/25/2018,511.8,511.8,511.8,511.8
DJUSBK,01/24/2018,512.35,512.35,512.35,512.35
DJUSBK,01/23/2018,508.05,508.05,508.05,508.05
DJUSBK,01/22/2018,508.26,508.26,508.26,508.26
DJUSBK,01/19/2018,504.41,504.41,504.41,504.41
